object_id,object_key,crowdsourced,in_tagsconfig,tagsconfig_categories,pivot_categories,tagged_categories,total_tag_rows,total_items,total_photos,pairs_total,pairs_pivotless,pivotless_items,cfg_materials,cfg_types,rows_with_type,ref_tagsconfig,ref_brandsconfig,ref_classifyservice,ref_fixorphaned,ref_translations,ref_other_app_code,duplicate_candidates,duplicate_reason
110,dental_floss,0,yes,sanitary,sanitary,sanitary,9,10,9,1,0,0,nylon|plastic,,0,1,0,0,0,0,0,,
111,deodorant_can,0,yes,sanitary,sanitary,sanitary,161,172,161,1,0,0,aluminium,,0,1,0,1,0,1,0,,
102,dogshit,0,yes,pets,pets,other|pets,1657,2187,1657,2,1,1383,,,0,1,0,2,1,4,4,,
103,dogshit_in_bag,0,yes,pets,pets,other|pets,1560,2113,1560,2,1,649,plastic,,0,1,0,2,1,1,0,,
165,dump,1,no,,,other,1875,9733,1875,1,1,9733,,,0,0,0,0,1,1,1,,
28,dumping,0,yes,dumping,dumping,dumping,1906,20649,1890,1,0,0,,small|medium|large,35,1,0,3,0,2,6,,
161,ear_plugs,1,no,,,other,26,46,26,1,1,46,,,0,0,0,0,1,1,1,,
106,ear_swabs,0,yes,sanitary,sanitary,sanitary,10,19,10,1,0,0,plastic|cotton,,0,1,0,1,0,1,1,earSwabs#166,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
166,earSwabs,1,no,,,sanitary,172,294,172,1,1,294,,,0,0,0,1,1,1,0,ear_swabs#106,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
169,elec_large,1,no,,,other,60,100,60,1,1,100,,,0,0,0,0,1,1,1,,
174,elec_small,1,no,,,other,291,385,291,1,1,385,,,0,0,0,0,1,1,1,,
156,energy_can,1,no,,,softdrinks,20498,20931,20498,1,1,20931,,,0,0,6,2,2,1,1,,
79,face_mask,0,yes,medical,medical,medical,13,17,13,1,0,0,cotton|polyester|paper,,0,1,0,0,0,0,0,facemask#183,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
183,facemask,1,no,,,sanitary,7742,7910,7742,1,1,7910,,,0,0,0,0,1,1,1,face_mask#79,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
17,fallen_tree,0,yes,civic,civic,,0,0,0,0,0,0,,,0,1,0,0,0,0,0,,
167,filters,1,no,,,smoking,603,852,602,1,1,852,,,0,0,0,1,1,1,1,,
66,fishing_hook,0,yes,marine,marine,,0,0,0,0,0,0,metal,,0,1,0,0,0,0,0,,
67,fishing_line,0,yes,marine,marine,marine,5,5,5,1,0,0,nylon,,0,1,0,0,0,0,0,,
68,fishing_lure,0,yes,marine,marine,,0,0,0,0,0,0,plastic|metal,,0,1,0,0,0,0,0,,
69,fishing_net,0,yes,marine,marine,marine,4,4,4,1,0,0,nylon|plastic,,0,1,0,0,0,0,0,fishing_nets#173,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
173,fishing_nets,1,no,,,marine,894,1154,893,1,1,1154,,,0,0,0,2,1,0,0,fishing_net#69,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
145,fizzy_bottle,1,no,,,softdrinks,6448,7831,6448,1,1,7831,,,0,0,8,1,1,1,0,,
97,furniture,0,yes,other,other,,0,0,0,0,0,0,,,0,1,0,0,0,1,0,,
7,glass,0,yes,alcohol,alcohol,alcohol,106,123,106,1,0,0,glass,beer|wine|spirits|cider|unknown,15,18,0,9,0,2,2,,
159,glass_jar,1,no,,,food,131,188,131,1,1,188,,,0,0,0,0,1,1,1,,
80,gloves,0,yes,medical,medical,medical|sanitary,2444,2586,2444,2,1,2562,latex|rubber|plastic,,0,1,0,0,1,1,1,,
13,graffiti,0,yes,art,art,art,9,11,9,1,0,0,,,0,1,0,0,0,1,0,,
42,gum,0,yes,food,food,food,432,490,432,1,0,0,rubber,,0,1,0,1,0,1,0,,
160,hair_tie,1,no,,,other,515,546,515,1,1,546,,,0,0,0,0,1,1,1,,
32,headphones,0,yes,electronics,electronics,electronics,1,1,1,1,0,0,plastic|metal,,0,1,0,0,0,1,0,,
130,hubcap,0,yes,vehicles,vehicles,,0,0,0,0,0,0,plastic,,0,1,0,0,0,0,0,,
194,icedTea_can,1,no,,,softdrinks,588,607,588,1,1,607,,,0,0,0,1,1,1,0,,
186,iceTea_bottle,1,no,,,softdrinks,829,851,829,1,1,851,,,0,0,0,1,1,1,0,,
81,inhaler,0,yes,medical,medical,,0,0,0,0,0,0,plastic|metal,,0,1,0,0,0,0,0,,
185,item,1,no,,,art,42,43,42,1,1,43,,,0,0,0,0,0,1,1,,
43,jar,0,yes,food,food,food,1,1,1,1,0,0,glass|plastic|metal,,0,1,0,0,0,1,0,,
155,juice_bottle,1,no,,,softdrinks,1862,1940,1862,1,1,1940,,,0,0,1,1,1,1,0,,
154,juice_carton,1,no,,,softdrinks,2243,2327,2243,1,1,2327,,,0,0,2,1,1,1,0,,
125,juice_pouch,0,yes,softdrinks,softdrinks,softdrinks,2172,2263,2172,1,0,0,plastic|foil,,0,1,0,1,0,1,0,,
8,label,0,yes,alcohol|softdrinks,alcohol|softdrinks,softdrinks,2667,3154,2667,1,0,0,paper|plastic,,0,2,13,1,75,1,0,,
197,lego,1,no,,,marine,3,3,3,1,1,3,,,0,0,1,0,1,2,2,,
131,license_plate,0,yes,vehicles,vehicles,,0,0,0,0,0,0,metal|plastic,,0,1,0,0,0,1,0,,
23,lid,0,yes,coffee|food|softdrinks,coffee|food|softdrinks,coffee|food|softdrinks,20038,25001,19888,3,0,0,plastic|paper|bioplastic|ceramic|metal|glass,,0,3,28,4,0,3,0,,
